TEMP,HUM,LIGHT,BAT,SP,CO,NO,NOISE, UTC,LOC
21.90,65.20,4540.80,51.50,0.00,538.01,2.71,85.04,2016-07-00 12:32:51,1
21.60,66.20,4540.80,51.10,0.00,724.92,1.49,90.18,2016-07-00 12:33:11,1
21.10,47.90,3936.00,50.70,0.00,731.64,2.09,89.30,2016-07-00 12:33:31,1
21.30,67.40,4540.80,50.80,0.00,807.16,2.78,92.32,2016-07-00 12:33:51,1
21.90,71.50,4540.80,50.90,0.00,748.96,2.54,92.76,2016-07-00 12:37:13,2
22.40,70.70,4540.80,50.60,0.00,812.40,2.40,91.48,2016-07-00 12:37:33,2
22.50,62.40,830.30,50.10,0.00,784.26,2.95,92.50,2016-07-00 12:37:53,2
22.40,63.10,2527.50,50.30,0.00,761.40,3.50,90.12,2016-07-00 12:38:13,2
21.80,64.50,473.10,49.50,0.00,825.97,4.03,88.87,2016-07-00 12:38:33,2
21.90,59.20,6099.10,49.40,0.00,776.11,4.46,91.56,2016-07-00 12:38:53,2
22.10,63.50,828.50,49.50,0.00,803.63,4.78,91.13,2016-07-00 12:39:13,2
21.50,69.50,4540.80,49.70,0.00,812.23,5.40,89.84,2016-07-00 12:42:01,3
21.80,71.40,4540.80,49.60,0.00,812.98,4.02,84.25,2016-07-00 12:42:20,3
22.30,69.90,4540.80,49.40,0.00,783.91,4.43,88.59,2016-07-00 12:42:40,3
20.80,66.70,2213.20,49.30,0.00,784.36,6.34,90.20,2016-07-00 12:46:10,1
21.60,67.50,4540.80,48.70,0.00,845.13,4.44,91.30,2016-07-00 12:46:30,1
21.20,65.30,5380.40,48.90,0.00,830.89,4.86,89.38,2016-07-00 12:46:50,1
20.50,63.90,842.30,48.30,0.00,780.41,5.29,91.84,2016-07-00 12:47:10,1
20.80,60.90,3085.40,48.90,0.00,766.15,6.04,89.50,2016-07-00 12:49:14,2
21.50,65.40,4676.30,48.50,0.00,797.74,4.64,90.86,2016-07-00 12:49:34,2
22.20,65.30,4540.80,48.30,0.00,774.35,5.18,87.27,2016-07-00 12:49:54,2
22.10,65.20,4540.80,47.50,0.00,817.41,5.92,92.40,2016-07-00 12:50:14,2
22.40,65.40,4540.80,48.00,0.00,783.25,6.26,93.39,2016-07-00 12:50:34,2
22.60,65.00,4540.80,48.00,0.00,513.22,6.43,90.44,2016-07-00 12:50:54,2
22.50,63.80,4540.80,47.70,0.00,801.47,6.92,90.22,2016-07-00 12:51:14,2
20.20,51.00,6544.10,47.60,0.00,809.40,7.71,89.74,2016-07-00 12:53:10,3
20.60,68.90,4540.80,47.00,0.00,833.06,5.39,93.05,2016-07-00 12:53:30,3
20.10,61.30,2199.80,47.00,0.00,795.86,5.82,82.69,2016-07-00 12:53:50,3
20.50,69.50,4540.80,46.70,0.00,841.72,6.56,97.36,2016-07-00 12:54:10,3
20.10,65.20,4939.70,46.10,0.00,816.41,6.96,89.83,2016-07-00 12:54:30,3
22.70,61.70,6383.90,47.90,0.00,754.19,7.17,86.97,2016-07-00 12:56:00,1
23.70,59.60,268.90,46.50,0.00,618.96,5.09,85.47,2016-07-00 12:56:20,1
23.70,63.40,4540.80,46.10,0.00,731.68,5.57,91.38,2016-07-00 12:56:40,1
23.40,56.50,5966.90,47.50,0.00,753.71,6.64,93.24,2016-07-00 12:58:15,2
23.30,59.00,4540.80,46.10,0.00,700.40,5.30,88.33,2016-07-00 12:58:34,2
24.20,58.10,4570.10,45.50,0.00,671.84,5.75,91.82,2016-07-00 12:58:54,2
23.90,60.10,4540.80,45.60,0.00,685.65,6.22,88.39,2016-07-00 12:59:14,2
24.20,61.60,4540.80,45.50,0.00,630.81,6.55,95.60,2016-07-00 12:59:35,2
20.70,61.40,5210.10,45.50,0.00,744.17,8.13,89.03,2016-07-00 13:02:09,3
21.80,63.50,4540.80,44.50,0.00,815.77,5.51,89.81,2016-07-00 13:02:29,3
21.40,63.60,4540.80,44.80,0.00,777.74,6.13,90.68,2016-07-00 13:02:49,3
21.10,62.60,4540.80,44.00,0.00,784.88,6.78,89.71,2016-07-00 13:03:09,3
21.70,59.00,4969.40,44.70,0.00,813.04,11.52,91.66,2016-07-00 13:09:29,1
21.90,59.10,5205.50,44.10,0.00,825.19,5.65,91.50,2016-07-00 13:09:49,1
21.70,58.50,4936.20,43.60,0.00,906.15,7.32,95.32,2016-07-00 13:10:09,1
21.70,62.50,4540.80,44.00,0.00,1161.55,9.10,96.26,2016-07-00 13:10:29,1
23.30,53.70,5296.50,45.40,0.00,745.67,9.37,86.61,2016-07-00 13:14:37,2
23.90,49.90,569.70,43.50,0.00,715.91,5.21,93.35,2016-07-00 13:14:57,2
23.70,56.70,4540.80,43.50,0.00,360.08,5.88,90.42,2016-07-00 13:15:17,2
24.10,53.20,5882.00,43.00,0.00,601.40,6.50,89.04,2016-07-00 13:15:37,2
18.70,46.30,393.20,43.50,0.00,776.16,10.54,93.03,2016-07-00 13:20:47,3
18.30,46.60,922.00,42.50,0.00,847.14,5.91,90.06,2016-07-00 13:21:07,3
18.40,46.80,6339.90,43.00,0.00,792.21,6.46,85.04,2016-07-00 13:21:27,3
18.20,47.10,6031.70,42.10,0.00,803.21,7.62,91.37,2016-07-00 13:21:47,3
18.20,46.90,809.10,42.10,0.00,803.19,8.29,84.38,2016-07-00 13:22:07,3
18.30,48.80,1889.10,41.80,0.00,868.04,9.13,89.22,2016-07-00 13:22:27,3
18.30,47.80,208.30,41.70,0.00,793.08,9.18,90.91,2016-07-00 13:22:47,3
18.00,48.00,1376.40,41.40,0.00,803.06,9.62,89.59,2016-07-00 13:23:07,3
